haskell-citeproc 0.4.1-57
haskell-cmdargs 0.10.21-3
haskell-colour 2.3.6-50
haskell-commonmark 0.2.1-29
haskell-commonmark-extensions 0.2.1.2-36
haskell-commonmark-pandoc 0.2.1.1-36
haskell-comonad 5.0.8-119
haskell-conduit 1.3.4.2-17
haskell-conduit-extra 1.3.5-190
haskell-connection 0.3.1-160
haskell-cookie 0.4.5-11
haskell-cryptonite 0.29-37
haskell-data-default 0.7.1.1-185
haskell-data-default-class 0.1.2.0-23
haskell-data-default-instances-containers 0.0.1-35
haskell-data-default-instances-dlist 0.0.1-198
haskell-data-default-instances-old-locale 0.0.1-35
haskell-data-fix 0.3.2-22
haskell-digest 0.0.1.3-1
haskell-distributive 0.6.2.1-122
haskell-dlist 1.0-121
haskell-doclayout 0.3.0.2-45
haskell-doctemplates 0.10.0.1-16
haskell-emojis 0.1-131
haskell-erf 2.0.0.0-23
haskell-errors 2.3.0-63
haskell-file-embed 0.0.14.0-3
haskell-glob 0.10.2-10
haskell-haddock-library 1.10.0-78
haskell-hashable 1.3.4.1-11
haskell-hourglass 0.2.12-166
haskell-hslua 1.3.0.1-84
haskell-hslua-module-path 0.1.0.1-69
haskell-hslua-module-system 0.2.2.1-140
haskell-hslua-module-text 0.3.0.1-128
haskell-hsyaml 0.2.1.0-136
haskell-http 4000.3.16-105
haskell-http-client 0.7.9-23
haskell-http-client-tls 0.3.5.3-472
haskell-http-types 0.12.3-200
haskell-indexed-traversable 0.1.2-1
haskell-integer-logarithms 1.0.3.1-5
haskell-iproute 1.7.11-48
haskell-ipynb 0.1.0.1-258
haskell-jira-wiki-markup 1.4.0-33
haskell-juicypixels 3.3.6-10
haskell-memory 0.16.0-37
haskell-mime-types 0.1.0.9-13
haskell-mono-traversable 1.0.15.3-17
haskell-network 3.1.2.5-7
haskell-network-uri 2.6.4.1-55
haskell-old-locale 1.0.0.7-29
haskell-old-time 1.1.0.3-29
haskell-pandoc-types 1.22-122
haskell-pem 0.2.4-200
haskell-primitive 0.7.3.0-3
haskell-quickcheck 2.14.2-247
haskell-random 1.2.1-36
haskell-resourcet 1.2.4.3-22
haskell-safe 0.3.19-7
haskell-scientific 0.3.7.0-33
haskell-sha 1.6.4.4-18
haskell-skylighting 0.11-49
haskell-skylighting-core 0.11-51
haskell-socks 0.6.1-147
haskell-split 0.2.3.4-165
haskell-splitmix 0.1.0.4-18
haskell-streaming-commons 0.2.2.2-3
haskell-strict 0.4.0.1-89
haskell-syb 0.7.2.1-95
haskell-tagged 0.8.6.1-4
haskell-tagsoup 0.14.8-146
haskell-temporary 1.3-331
haskell-texmath 0.12.3.1-28
haskell-text-conversions 0.3.1-102
haskell-text-icu 0.7.1.0-4
haskell-th-abstraction 0.4.3.0-1
haskell-th-compat 0.1.3-17
haskell-th-lift 0.8.2-10
haskell-th-lift-instances 0.1.19-6
haskell-these 1.1.1.1-116
haskell-time-compat 1.9.6.1-17
haskell-tls 1.5.6-4
haskell-transformers-compat 0.7.1-1
haskell-typed-process 0.2.8.0-6
haskell-unicode-collation 0.1.3.1-12
haskell-unicode-data 0.2.0-1
haskell-unicode-transforms 0.4.0-4
haskell-uniplate 1.6.13-91
haskell-unliftio-core 0.2.0.1-8
haskell-unordered-containers 0.2.15.0-3
haskell-utf8-string 1.0.2-70
haskell-uuid-types 1.0.5-37
haskell-vector 0.12.3.1-28
haskell-vector-algorithms 0.8.0.4-85
haskell-x509 1.7.5-180
haskell-x509-store 1.6.7-179
haskell-x509-system 1.6.6-247
haskell-x509-validation 1.6.11-179
haskell-xml 1.3.14-29
haskell-xml-conduit 1.9.1.1-65
haskell-xml-types 0.3.8-7
haskell-zip-archive 0.4.1-152
haskell-zlib 0.6.2.3-53
hdf5 1.12.1-1
hicolor-icon-theme 0.17-2
hidapi 0.11.2-1
htop 3.1.2-1
http-parser 2.9.4-1
hunspell 1.7.0-3
hwids 20210613-1
hwinfo 21.80-1
hwloc 2.7.0-1
hyphen 2.8.8-3
i3-wm 4.20.1-1
i3lock-color 2.13.c.4-1
iana-etc 20211203-1
icu 70.1-1
id3lib 3.8.3-18
ijs 0.35-3
imagemagick 7.1.0.19-1
imath 3.1.3-4
imlib2 1.7.5-1
incidenceeditor 21.12.1-1
iniparser 4.1-4
intel-ucode 20210608-1
iproute2 5.15.0-2
iptables 1:1.8.7-1
iputils 20211215-1
iso-codes 4.9.0-1
itinerary 21.12.1-1
iw 5.16-1
jack2 1.9.19-2
jansson 2.14-1
jasper 2.0.33-1
java-environment-common 3-3
java-runtime-common 3-3
jbig2dec 0.19-1
jdk-openjdk 17.0.1.u12-1
jemalloc 1:5.2.1-6
jq 1.6-4
jre-openjdk 17.0.1.u12-1
jre-openjdk-headless 17.0.1.u12-1
js78 78.15.0-1
json-c 0.15-2
json-glib 1.6.6-1
jsoncpp 1.9.5-1
juk 21.12.1-1
jxrlib 0.2.1-3
k3b 1:21.12.1-1
kaccounts-integration 21.12.1-1
kaccounts-providers 21.12.1-1
kactivities 5.89.0-1
kactivities-stats 5.89.0-1
kactivitymanagerd 5.23.5-1
kaddressbook 21.12.1-1
kajongg 21.12.1-1
kalarm 21.12.1-1
kalarmcal 21.12.1-1
kalgebra 21.12.1-1
kalzium 21.12.1-1
kamera 21.12.1-1
kamoso 21.12.1-1
kanagram 21.12.1-1
kapman 21.12.1-1
kapptemplate 21.12.1-1
karchive 5.89.0-1
kate 21.12.1-1
katomic 21.12.1-1
kauth 5.89.0-1
kbackup 21.12.1-1
kbd 2.4.0-2
kblackbox 21.12.1-1
kblocks 21.12.1-1
kbookmarks 5.89.0-1
kbounce 21.12.1-1
kbreakout 21.12.1-1
kbruch 21.12.1-1
kcachegrind 21.12.1-1
kcachegrind-common 21.12.1-1
kcalc 21.12.1-1
kcalendarcore 5.89.0-1
kcalutils 21.12.1-1
kcharselect 21.12.1-1
kcmutils 5.89.0-1
kcodecs 5.89.0-1
kcolorchooser 21.12.1-1
kcolorpicker 0.1.6-1
kcompletion 5.89.0-1
kconfig 5.89.0-1
kconfigwidgets 5.89.0-1
kcontacts 1:5.89.0-1
kcoreaddons 5.89.0-1
kcrash 5.89.0-1
kcron 21.12.1-1
kdav 1:5.89.0-1
kdbusaddons 5.89.0-1
kde-accessibility-meta 21.12-2
kde-applications-meta 21.12-2
kde-cli-tools 5.23.5-1
kde-dev-scripts 21.12.1-1
kde-dev-utils 21.12.1-1
kde-education-meta 21.12-2
kde-games-meta 21.12-2
kde-graphics-meta 21.12-2
kde-gtk-config 5.23.5-1
kde-multimedia-meta 21.12-2
kde-network-meta 21.12-2
kde-pim-meta 21.12-2
kde-sdk-meta 21.12-2
kde-system-meta 21.12-2
kde-utilities-meta 21.12-2
kdebugsettings 21.12.1-1
kdeclarative 5.89.0-1
kdeconnect 21.12.1-1
kdecoration 5.23.5-1
kded 5.89.0-1
kdeedu-data 21.12.1-1
kdegraphics-mobipocket 21.12.1-1
kdegraphics-thumbnailers 21.12.1-1
kdelibs4support 5.89.0-1
kdenetwork-filesharing 21.12.1-1
kdenlive 21.12.1-1
kdepim-addons 21.12.1-1
kdepim-runtime 21.12.1-1
kdeplasma-addons 5.23.5-1
kdesdk-kioslaves 21.12.1-1
kdesdk-thumbnailers 21.12.1-1
kdesu 5.89.0-1
kdevelop 21.12.1-1
kdevelop-meta 21.12-2
kdevelop-php 21.12.1-1
kdf 21.12.1-1
kdiagram 2.8.0-1
kdialog 21.12.1-1
kdiamond 21.12.1-1
kdnssd 5.89.0-1
kdoctools 5.89.0-1
kdsoap 2.0.0-1
kdsoap-ws-discovery-client git20200927-2
keditbookmarks 21.12.1-1
kemoticons 5.89.0-1
keyutils 1.6.3-1
kfilemetadata 5.89.0-1
kfind 21.12.1-1
kfloppy 21.12.1-1
kfourinline 21.12.1-1
kgamma5 5.23.5-1
kgeography 21.12.1-1
kget 21.12.1-1
kglobalaccel 5.89.0-1
kgoldrunner 21.12.1-1
kgpg 21.12.1-1
kguiaddons 5.89.0-1
khangman 21.12.1-1
khealthcertificate 21.12-1
khelpcenter 21.12.1-1
kholidays 1:5.89.0-1
khotkeys 5.23.5-1
khtml 5.89.0-1
ki18n 5.89.0-1
kicad-library-3d-nightly 6.99.0_286_g5fde992ed4-1
kicad-library-nightly 6.99.0_286_g5fde992ed4-1
kicad-nightly 6.99.0_286_g5fde992ed4-1
kiconthemes 5.89.0-1
kidentitymanagement 21.12.1-1
kidletime 5.89.0-1
kig 21.12.1-1
kigo 21.12.1-1
killbots 21.12.1-1
kimageannotator 0.5.3-1
kimagemapeditor 21.12.1-1
kimap 21.12.1-1
kinfocenter 5.23.5-1
kinit 5.89.0-1
kio 5.89.0-1
kio-extras 21.12.1-1
kio-fuse 5.0.1-1
kio-gdrive 21.12.1-1
kipi-plugins 21.12.1-1
kirigami-gallery 21.12.1-1
kirigami2 5.89.0-1
kiriki 21.12.1-1
kitemmodels 5.89.0-1
kitemviews 5.89.0-1
kiten 21.12.1-1
kitinerary 21.12.1-1
kitty 0.24.0-1
kitty-terminfo 0.24.0-1
kjobwidgets 5.89.0-1
kjs 5.89.0-1
kjumpingcube 21.12.1-1
kldap 21.12.1-1
kleopatra 21.12.1-1
klettres 21.12.1-1
klickety 21.12.1-1
klines 21.12.1-1
kmag 21.12.1-1
kmahjongg 21.12.1-1
kmail 21.12.1-1
kmail-account-wizard 21.12.1-1
kmailtransport 21.12.1-1
kmbox 21.12.1-1
kmenuedit 5.23.5-1
kmime 21.12.1-1
kmines 21.12.1-1
kmix 21.12.1-1
kmod 29-1
kmousetool 21.12.1-1
kmouth 21.12.1-1
kmplot 21.12.1-1
knavalbattle 21.12.1-1
knetwalk 21.12.1-1
knewstuff 5.89.0-1
knights 21.12.1-1
knotes 21.12.1-1
knotifications 5.89.0-1
knotifyconfig 5.89.0-1
kolf 21.12.1-1
kollision 21.12.1-1
kolourpaint 21.12.1-1
kompare 21.12.1-1
konqueror 21.12.1-1
konquest 21.12.1-1
konsole 21.12.1-1
kontact 21.12.1-1
kontactinterface 21.12.1-1
kontrast 21.12.1-1
konversation 21.12.1-1
kopeninghours 21.12.1-1
kopete 21.12.1-1
korganizer 21.12.1-1
kosmindoormap 21.12.1-1
kpackage 5.89.0-1
kparts 5.89.0-1
kpat 21.12.1-1
kpeople 5.89.0-1
kpeoplevcard 0.1-1
kpimtextedit 21.12.1-1
kpkpass 21.12.1-1
kplotting 5.89.0-1
kpmcore 21.12.1-1
kpty 5.89.0-1
kpublictransport 21.12.1-1
kqtquickcharts 21.12.1-1
kquickcharts 5.89.0-1
krb5 1.19.2-2
krdc 21.12.1-1
kreversi 21.12.1-1
krfb 21.12.1-1
kross 5.89.0-1
kruler 21.12.1-1
krunner 5.89.0-1
kscreen 5.23.5-1
kscreenlocker 5.23.5-1
kservice 5.89.0-1
kshisen 21.12.1-1
ksirk 21.12.1-1
ksmtp 21.12.1-1
ksnakeduel 21.12.1-1
kspaceduel 21.12.1-1
ksquares 21.12.1-1
ksshaskpass 5.23.5-1
ksudoku 21.12.1-1
ksystemlog 21.12.1-1
ksystemstats 5.23.5-1
kteatime 21.12.1-1
ktexteditor 5.89.0-1
ktextwidgets 5.89.0-1
ktimer 21.12.1-1
ktnef 21.12.1-1
ktorrent 21.12.1-1
ktouch 21.12.1-1
ktuberling 21.12.1-1
kturtle 21.12.1-1
kubrick 21.12.1-1
kunitconversion 5.89.0-1
kuserfeedback 1.0.0-1
kwallet 5.89.0-1
kwallet-pam 5.23.5-1
